s.no,Source,Date,Headline,News_body,Link
1,KRISHI JAGRAN,           14/05/22,Good News for J&K' Farmers as Agriculture & Horticulture Sectors Undergo Rapid Transformation,"Summer crops include rice, corn, millets, pulses, and vegetables such as peas, beans, lentils, and others. Wheat, like barley, is a staple crop that is planted in the winter and harvested in the spring. Jammu & Kashmir ranks third among all states/UTs in monthly income to agriculture households and fifth in Agriculture & Allied sector performance. Union Territory of Jammu and Kashmir's economy is heavily reliant on agriculture, and roughly 70% of the population is directly or indirectly involved in agricultural and allied activities. Rice is a staple crop grown in J&K, both in Kashmir and Jammu divisions, sown in the summer (May) and harvested in late September. Summer crops include rice, corn, millets, pulses, and vegetables such as peas, beans, lentils, and others. Wheat, like barley, is a staple crop that is planted in the winter and harvested in the spring. Jammu & Kashmir ranks third among all states/UTs in monthly income to agriculture households and fifth in Agriculture & Allied sector performance.",https://krishijagran.com/agriculture-world/good-news-for-jk-farmers-as-agriculture-horticulture-sectors-undergo-rapid-transformation/
2,KRISHI JAGRAN,06-05-2026,Anti-Nutritional Factors in Pulses,"Summer crops include rice, corn, millets, pulses, and vegetables such as peas, beans, lentils, and others. Wheat, like barley, is a staple crop that is planted in the winter and harvested in the spring. Jammu & Kashmir ranks third among all states/UTs in monthly income to agriculture households and fifth in Agriculture & Allied sector performance. Union Territory of Jammu and Kashmir's economy is heavily reliant on agriculture, and roughly 70% of the population is directly or indirectly involved in agricultural and allied activities. Rice is a staple crop grown in J&K, both in Kashmir and Jammu divisions, sown in the summer (May) and harvested in late September. Summer crops include rice, corn, millets, pulses, and vegetables such as peas, beans, lentils, and others. Wheat, like barley, is a staple crop that is planted in the winter and harvested in the spring. Jammu & Kashmir ranks third among all states/UTs in monthly income to agriculture households and fifth in Agriculture & Allied sector performance.",https://krishijagran.com/featured/anti-nutritional-factors-in-pulses/
3,KRISHI JAGRAN,04-03-2024,Transform Your Health With 10 Surprisingly Delicious Collagen-Rich Foods!,"Summer crops include rice, corn, millets, pulses, and vegetables such as peas, beans, lentils, and others. Wheat, like barley, is a staple crop that is planted in the winter and harvested in the spring. Jammu & Kashmir ranks third among all states/UTs in monthly income to agriculture households and fifth in Agriculture & Allied sector performance. Union Territory of Jammu and Kashmir's economy is heavily reliant on agriculture, and roughly 70% of the population is directly or indirectly involved in agricultural and allied activities. Rice is a staple crop grown in J&K, both in Kashmir and Jammu divisions, sown in the summer (May) and harvested in late September. Summer crops include rice, corn, millets, pulses, and vegetables such as peas, beans, lentils, and others. Wheat, like barley, is a staple crop that is planted in the winter and harvested in the spring. Jammu & Kashmir ranks third among all states/UTs in monthly income to agriculture households and fifth in Agriculture & Allied sector performance.",https://krishijagran.com/health-lifestyle/transform-your-health-with-10-surprisingly-delicious-collagen-rich-foods/
4,KRISHI JAGRAN,08-04-2023,From Idli to Sarson ka Saag: Top Local Indian Foods for a Healthy Diet,"Summer crops include rice, corn, millets, pulses, and vegetables such as peas, beans, lentils, and others. Wheat, like barley, is a staple crop that is planted in the winter and harvested in the spring. Jammu & Kashmir ranks third among all states/UTs in monthly income to agriculture households and fifth in Agriculture & Allied sector performance. Union Territory of Jammu and Kashmir's economy is heavily reliant on agriculture, and roughly 70% of the population is directly or indirectly involved in agricultural and allied activities. Rice is a staple crop grown in J&K, both in Kashmir and Jammu divisions, sown in the summer (May) and harvested in late September. Summer crops include rice, corn, millets, pulses, and vegetables such as peas, beans, lentils, and others. Wheat, like barley, is a staple crop that is planted in the winter and harvested in the spring. Jammu & Kashmir ranks third among all states/UTs in monthly income to agriculture households and fifth in Agriculture & Allied sector performance.",https://krishijagran.com/health-lifestyle/from-idli-to-sarson-ka-saag-top-local-indian-foods-for-a-healthy-diet/
5,KRISHI JAGRAN,06-04-2023,China Breaks Record with over USD 100 mn in Pulse Imports from India,"Summer crops include rice, corn, millets, pulses, and vegetables such as peas, beans, lentils, and others. Wheat, like barley, is a staple crop that is planted in the winter and harvested in the spring. Jammu & Kashmir ranks third among all states/UTs in monthly income to agriculture households and fifth in Agriculture & Allied sector performance. Union Territory of Jammu and Kashmir's economy is heavily reliant on agriculture, and roughly 70% of the population is directly or indirectly involved in agricultural and allied activities. Rice is a staple crop grown in J&K, both in Kashmir and Jammu divisions, sown in the summer (May) and harvested in late September. Summer crops include rice, corn, millets, pulses, and vegetables such as peas, beans, lentils, and others. Wheat, like barley, is a staple crop that is planted in the winter and harvested in the spring. Jammu & Kashmir ranks third among all states/UTs in monthly income to agriculture households and fifth in Agriculture & Allied sector performance.",https://krishijagran.com/news/china-breaks-record-with-over-usd-100-mn-in-pulse-imports-from-india/
6,KRISHI JAGRAN,           20/12/13,World Pulses Day 2023: History & Significance of the Day,"Summer crops include rice, corn, millets, pulses, and vegetables such as peas, beans, lentils, and others. Wheat, like barley, is a staple crop that is planted in the winter and harvested in the spring. Jammu & Kashmir ranks third among all states/UTs in monthly income to agriculture households and fifth in Agriculture & Allied sector performance. Union Territory of Jammu and Kashmir's economy is heavily reliant on agriculture, and roughly 70% of the population is directly or indirectly involved in agricultural and allied activities. Rice is a staple crop grown in J&K, both in Kashmir and Jammu divisions, sown in the summer (May) and harvested in late September. Summer crops include rice, corn, millets, pulses, and vegetables such as peas, beans, lentils, and others. Wheat, like barley, is a staple crop that is planted in the winter and harvested in the spring. Jammu & Kashmir ranks third among all states/UTs in monthly income to agriculture households and fifth in Agriculture & Allied sector performance.",https://krishijagran.com/blog/world-pulses-day-2023-history-significance-of-the-day/
7,KRISHI JAGRAN,06-05-2026,"How KVK helped Subhash Chand, Farmer from Mandi Perform Better and Produce More","Summer crops include rice, corn, millets, pulses, and vegetables such as peas, beans, lentils, and others. Wheat, like barley, is a staple crop that is planted in the winter and harvested in the spring. Jammu & Kashmir ranks third among all states/UTs in monthly income to agriculture households and fifth in Agriculture & Allied sector performance. Union Territory of Jammu and Kashmir's economy is heavily reliant on agriculture, and roughly 70% of the population is directly or indirectly involved in agricultural and allied activities. Rice is a staple crop grown in J&K, both in Kashmir and Jammu divisions, sown in the summer (May) and harvested in late September. Summer crops include rice, corn, millets, pulses, and vegetables such as peas, beans, lentils, and others. Wheat, like barley, is a staple crop that is planted in the winter and harvested in the spring. Jammu & Kashmir ranks third among all states/UTs in monthly income to agriculture households and fifth in Agriculture & Allied sector performance.",https://krishijagran.com/ftb-stories/how-kvk-helped-subhash-chand-farmer-from-mandi-perform-better-and-produce-more/
8,KRISHI JAGRAN,05-11-2021,Government Estimates Demand Of 46 Lakh Bales Of Jute Bags In The Upcoming Crop Season,"The government forecasts that 46 lakh bales of jute bags would be needed to pack food grains in the next harvest season of 2022-23, but industry authorities believe that the jute sector will be unable to satisfy demand owing to a lack of raw jute supply. According to the government,46 lakh bales of jute bagswould be needed to pack food grains in the next harvest season of2022-23,but industry officials predict that the jute sector will be unable to satisfy demand owing to a lack of raw jute supply. An overview of the requirement forjutebags to the tune of around 46 lakh bales in the year 2022-23 was given at a recent meeting by the Union Consumer Affairs, Food and Public Distribution Ministry with stakeholders to ascertain jute bag demand, but the low commitment of new jute bags by jute mills is creating a severe shortage situation, they said. The Indian Jute Mills Association's commitment for the season 2022-23 was also reviewed during the meeting. ""The meeting attributed the lack of packing material to jute mills' limited manufacturing capacity, lack ofmodernisation, and lack of output expansion."" However, no government is making a genuine attempt to improve raw jute output, which is the source of the problem, according to a senior IJMA official. A multidisciplinary team of scientists of ICAR – Central Research Institute for Jute and Allied Fibres, Barrackpore has bagged the… According to the source, the Centre set raw jute trading at Rs 6,500 per quintal, which dried up the market and caused a raw jute shortage for mills. ""Either the government must secure a consistent supply of raw jute or the bag prices must be increased,"" the mill owners stated. The current challenge faced by the department of food is for arranging jute bags in Kharif season 2021-22, for which 25 lakh bales are required, of which the commitment of supply by IJMA is of 18 lakh bales and which has been further decreased by them to 16 lakh bales, authorities added.",https://krishijagran.com/agriculture-world/government-estimates-demand-of-46-lakh-bales-of-jute-bags-in-the-upcoming-crop-season/
9,KRISHI JAGRAN,30-06-2022,Raw Jute Prices Fall 5-7 % Due to Rise in Production & Good Arrivals,"The Jute Commissioner's price cap of 6,500 per quintal not only caused the closure of jute mills across the country, but it also resulted in polypropylene bags meeting more than half of the demand for food grain packaging during the ongoing Rabi Marketing Season (RMS) 2022-23. Kolkata Raw jute prices have fallen by five to seven percent in the last month due to an expected increase in production and good arrivals. Prices were currently hovering around Rs 6,200 per quintal, down from Rs 6,500 a month ago. Jute output is expected to be six to seven percent higher in 2022-23, at around 95 lakh bales, compared to close to 90 lakh bales last year. The carryover stock for this year is expected to be around 19 lakh bales, up from 5 lakh bales last year. Total availability is expected to be close to 114 lakh bales, up from 95 lakh bales last year. Farmers have increased their sowing this year, covering nearly 8 lakh hectares, encouraged by the highly profitable raw jute prices over the last two years. In June and July, however, inclement weather prevailed injute-growing areas, with flooding in North Bengal and Assam and less rainfall in South Bengal affecting retting.",https://krishijagran.com/agriculture-world/raw-jute-prices-fall-5-7-due-to-rise-in-production-good-arrivals/
10,KRISHI JAGRAN,08-03-2024,Raw Jute MSP Hiked by Rs. 285 to Rs 5335 Per Quintal for 2024-25 Season,"The decision to increase Raw Jute MSP by the committee reflects a commitment to agricultural growth and support for jute cultivation in India. Minimum Support Prices (MSP) for Raw Jute for the forthcoming 2024–25 season have been approved by the Cabinet Committee on Economic Affairs, led by Prime Minister Modi, in a major step toward aiding jute growers. This decision comes as a relief to the agricultural sector, particularly to those engaged in jute cultivation. Approved MSP for Raw Jute (TDN-3 equivalent to earlier TD-5 grade) stands at Rs.5,335/- per quintal for the 2024-25 season. This pricing structure guarantees a return of 64.8 percent over the all India weighted average cost of production, aligning with the government's commitment to fixing the MSP at a level of at least 1.5 times the all India weighted average cost of production, as outlined in the Budget 2018-19. The decision to set the MSP for Raw Jute is based on thorough evaluations and recommendations put forth by the Commission for Agricultural Costs and Prices (CACP), reflecting a concerted effort to ensure fair compensation for jute growers. Compared to the previous season,MSPfor Raw Jute witnesses a notable increase of Rs.285/- per quintal for the 2024-25 season. Over the past decade, government has consistently raised the MSP for Raw Jute, marking a commendable growth trajectory from Rs.2,400 per quintal in 2014-15 to Rs.5,335/- per quintal in 2024-25, signifying a remarkable surge of 122 percent.",https://krishijagran.com/news/raw-jute-msp-hiked-by-rs-285-to-rs-5335-per-quintal-for-2024-25-season/
